reviews,appVersion,at,label
pesimo actualizar ocupando cada vez mas espacio solo necesito descargo enojado atencion recibida enojada atencion recibida,1.87.04,2021-07-09 19:29:12,Negativo
escuchado llave plan puede transferirno aparece opcion no haria,1.87.04,2023-04-29 23:26:29,Negativo
queria mapear queda cargando clave no ingresa,1.87.04,2021-01-07 21:06:15,Negativo
volvio inservible llave no deja ingresar dice acceso denegado celular privilegios administrador deberian eliminar aplicacion play storepracticamente obsoleta no quiero ponerle ni estrellano puede comentar sin antes calificar pesimo servicio,1.87.04,2021-02-13 13:24:41,Negativo
asco bcp aun ni soluciona problema,1.87.04,2021-10-11 06:32:41,Negativo
no puedo instalar q,1.87.04,2021-06-24 18:38:09,Negativo
acabo cambiar tarjeta volvo registrar no puedo mapear antes dice maximo mapear 000 soles,1.87.04,2020-12-30 22:17:45,Negativo
aplicacion sido creada robar usuarios cuidado cuentas robos sistematicos realizan aparicion,1.87.04,2020-12-04 01:21:07,Negativo
ultima actualizacion siempre fallando casi seguido desinstalando volviendo instalar pesimo,1.87.04,2021-11-10 18:15:25,Negativo
no puedo instalar app,1.87.04,2023-01-26 11:49:46,Negativo
hace dias no puedo actualizar aplicativo,1.87.04,2021-11-02 19:08:45,Negativo
mala roba dinero usuario no usen,1.87.04,2020-12-12 13:57:10,Negativo
tenia instalado aplicacion k salio k estan problemas asi desinstale volver instalar no puede,1.87.04,2021-10-31 23:54:43,Negativo
no pasa,1.87.04,2020-11-30 13:31:04,Negativo
hace dias no podido ingresar llave hora ingresar aplicacion queda pantalla principal morada logo problematica desinstalarlo volverlo instalarproceso re instalacion solo llega 60 no descarga completo crei telefonoamigos reportan mismo problema haciendo mismo procedimiento quiero soluciondinero cuenta independiente bcp,1.87.04,2022-07-06 07:31:02,Negativo
no puedo ni descargarla q pesimo,1.87.04,2021-06-02 16:17:11,Negativo
sigo dificultad activar aplicacion pesale bloqueado no seguro usar aplicacion,1.87.04,2021-03-12 20:04:23,Negativo
no entra pagina,1.87.04,2022-12-03 00:22:43,Negativo
instalarlo dice misma app no segura entonces no confiaba,1.87.04,2022-10-27 20:33:23,Negativo
tremenda porqueria app llamas recibir codigo cuelgan solicitas mensaje llega despues 1 dia malo malas,1.87.04,2021-03-03 17:48:44,Negativo
hace dias dice contraseña correo registrado estan errados puedo entrar normal banca bcp ultima actualizacion peor vuelvan actualizar app pesimo,1.87.04,2021-05-16 23:48:10,Negativo
mala experiencia actualizar pidio desinstalar no volvio trabajar mas no dio razon,1.87.29,2021-02-18 02:00:41,Negativo
no puede actualizar app,1.87.29,2022-05-23 21:38:00,Negativo
deseo crear cuenta sale error intentalo mas tarde desapruebo respuesta,1.87.29,2020-11-12 00:30:42,Negativo
no puedo afiliarme dni,1.87.29,2021-10-21 22:29:13,Negativo
problema,1.87.29,2021-04-18 03:34:42,Negativo
buenas noches ultima semana no abre app podia actualizar daba actualizarno cargaba desinstalar volver instalar ahora no descarga ni app,1.87.38,2021-10-26 00:31:05,Negativo
67 soles no,1.87.38,2020-12-07 20:34:12,Negativo
quiero entrar app hace 1 no puede solo aparece inconvenientes hacer pago urgente no puedo favor verifiquen,1.87.38,2022-01-31 20:05:42,Negativo
mala experiencia usuario,1.87.38,2022-04-01 16:12:56,Negativo
pesimo no carga desinstale no puedo volver instalarlo,1.87.38,2021-06-27 16:25:16,Negativo
problemas aplicacion deseo mapear reinicia elimine volvi instalar sale play store no puede instalar problemas seguridad reportada usuarios,1.87.38,2023-06-03 17:20:21,Negativo
hace dias quiero entrar app pide actualizar entro no sale opcion actualizar solucion papa banca internet tampoco funcionan,1.87.38,2021-02-15 15:10:49,Negativo
buena app malo cada rato actualizan no espacio actualizando cada rato si no actualizo no puedo entrar,1.87.38,2021-01-28 05:11:55,Negativo
poniendose error cierre aplicacion no permite realizar apeos,1.87.38,2022-02-14 20:22:01,Negativo
ahorita no dan solucion falla aplicativo ni dan numero comunicarme asesor pagina facebook no responden respecto problema,1.87.38,2021-02-10 16:19:41,Negativo
muestra error,1.87.38,2021-06-24 14:29:31,Negativo
pide actualizar app llave no carga play store llevo 2 dias queriendo actualizar,1.87.38,2022-05-24 16:10:13,Negativo
abro llave sale privilegios administrador significa no puedo ingresar 3 dias ayudaba,1.87.38,2021-01-31 15:40:39,Negativo
pesimo app hace meses atras bien app actualizaciones recientes fregaron no deja mapear solucion pronto,1.87.38,2023-02-21 20:55:32,Negativo
no puedo actualizar llave aparece error problema si antes funcionaba normal,1.87.38,2023-01-24 01:43:05,Negativo
fallas no deja usar llave celular legal sin ninguna alteracion,1.87.38,2021-02-06 22:37:39,Negativo
intento registrarme dice ups no posible intente mas tarde 2 semanas descargo vuelvo descargar denle mantenimiento den solucion,1.87.38,2021-05-30 22:32:04,Negativo
no puedo crear cuenta llave solo dni,1.87.38,2020-11-21 03:20:44,Negativo
no,1.87.38,2020-11-21 01:46:03,Negativo
veces entro sale no responde no puede hacer,1.87.38,2021-06-30 04:10:08,Negativo
feo no puede actualizar,1.87.38,2021-10-21 23:54:46,Negativo
no puedo abrir llavetelefono tuteado nones compatibles,1.87.38,2021-05-30 12:52:10,Negativo
experiencia mala,1.87.38,2021-07-10 05:34:59,Negativo
mala app,1.87.38,2021-05-26 20:06:08,Negativo
antes funcionaba bien despues pidio actualizacion no funcionaba desinstale ahora no puede volver instalar desastre frustradono puedo avanzar aplicacion,1.87.38,2021-07-01 20:51:45,Negativo
aplicacion sonsera codigo validacion salia automaticamente ahora no sale ni mandan codigo celular desinstalando poder mapear mala app actualizada,1.87.38,2021-07-28 03:41:08,Negativo
tratando hace dias restaurar cuenta solo dicen no no lee cuenta no correo frustradono puedo avanzar aplicacion perdida tiempo,1.87.38,2021-08-17 15:59:34,Negativo
aplicacion pesima descargue momento realizar verificacion no reconoce parte detras dni mejoren aspecto favor,1.87.38,2022-03-27 18:48:19,Negativo
nunca entra necesita urgente sale ups llave no responde siendo aplicacion tan necesaria urgente deberia tener mejor sistema,1.87.38,2021-06-14 00:41:18,Negativo
señores tener cuidado privacidad hackeos estan realizando apeos retiros nunca hecho tal motivo desafilando,1.87.38,2021-09-13 18:28:02,Negativo
mala bajo demasiado nivel no puede mapear,1.87.38,2021-01-23 02:26:23,Negativo
podria cancelar antigua cuenta no deja registrarme llave,1.87.38,2021-02-16 07:56:38,Negativo
siempre cuelga app demora entrar,1.87.38,2021-03-16 01:07:02,Negativo
no deja usar app dice permisos desarrollador,1.87.38,2021-01-25 01:48:48,Negativo
llevo dias tratando descargar aplicacion no quiere sale error antes teniapidio actualizarla ahi no puedo,1.87.38,2021-02-22 17:42:32,Negativo
ojala no estafen,1.87.38,2021-08-31 18:02:08,Negativo
no deja mapear nunca,1.87.38,2021-03-21 14:31:36,Negativo
mortificado no puede ingresar si logramos no puede hacer envios bcp no demuestra preocupacion clientes,1.87.38,2021-03-07 16:25:06,Negativo
malisima,1.87.38,2021-09-09 03:34:26,Negativo
no carga no puedo realizar ninguna compra aplicacion no abre,1.87.50,2021-10-30 16:21:56,Negativo
no puede registrar cuenta tarjeta debito,1.87.50,2021-02-11 01:21:07,Negativo
no puedo mapear mala aplicacion no responde ahora no pedo entrar,1.87.50,2021-02-19 22:05:09,Negativo
no funciona sale mensaje ocurrio inconveniente intentalo minutos,1.87.50,2022-11-05 20:07:02,Negativo
principio hizo lindo trabajar app luego tonteria boya mas mes tratando solucionar problema no pueden ayudarme ni fisico ni tel . ahora tel . mal causo impacto negativo ultima experiencia impuesto desilusionado situacion,1.87.50,2020-11-30 18:44:03,Negativo
completa porqueria no reconoce rostro basura completa pasare continental,1.87.50,2021-06-29 18:02:44,Negativo
l m no km am l m no ñ ñ ñ non,1.87.50,2022-04-12 17:45:36,Negativo
mala experiencia perdi tarjeta trato afiliarme indica no posible voy tener cortar cabello tener app enesima trabajo ustedes pierdo clientes encima no dan ninguna solucion voy 15 dias sin llave no reclamar,1.87.50,2021-02-11 04:16:12,Negativo
pesima no puedo mapear ni tampoco recibir payes si atencion cliente pesima dijeron desafile vuelva hacer problema continua pesimo servicio,1.87.50,2022-07-08 17:20:11,Negativo
problemas llave,1.87.50,2021-04-16 23:31:59,Negativo
pesimo no puedo validar datos sale error,1.87.50,2021-06-29 20:09:12,Negativo
ayudas jose no puedo instalarme no problema play store x app si dejallave no voy 2 semanas sin llave,1.87.50,2023-11-12 15:06:54,Negativo
no deja actualizar,1.87.50,2021-10-21 03:45:27,Negativo
pesima aplicacion pide actualizar hago dejo funcionar no puedo hacer ningun pago envio pasa favor desinstalo volver instalar pido retire aplicaciones importantes pueden ayudar,1.87.50,2022-03-02 05:23:26,Negativo
no pude ingresar apple pidio actualizar no podia tampoco entonces elimine app volver s instalar voy ochocientas mil veces no permite instalar,1.87.50,2021-02-12 03:47:06,Negativo
problemas dia pidio actualice no puede desinstale ahora no puede instalar,1.87.50,2021-07-02 02:55:31,Negativo
aplicacion pesima mas intento hacer indican siempre sale mismo mg cansa momento ingresando registrarme siguen mismo mg siga intentando mas tarde tiempo espera caduco frustrado situacion frustrado situacion frustrado situacion,1.87.50,2021-10-13 18:50:58,Negativo
porqueria aplicacion no recomiendo,1.87.50,2021-03-09 21:01:42,Negativo
porqueria no responde pasa cada cierto tiempo constante cansa,1.87.50,2021-07-14 16:26:08,Negativo
no actualiza llave,1.87.50,2021-10-22 00:35:57,Negativo
no entiendo tantas fallas aplicativo pide actualizar no consigo actualizar equipo moto g 5 necesito urgentemente den solucion,1.87.50,2022-02-17 23:51:25,Negativo
app deberia permitir extranjeros puedan afiliarse llave tarjeta banco,1.87.50,2024-09-12 15:40:04,Negativo
no si solo sucedaactualice acceso plataforma vuelto lento,1.87.50,2024-08-01 12:08:29,Negativo
llevo 2 dias intentando actualizar estresante desinstalado app volver instalarlo peor aun opinion neutra aplicacion impedi opinion neutra aplicacion llave,1.87.50,2021-10-21 17:25:19,Negativo
fatal ultima actualizacion junio letras pequeñas teclado no dinamico redujeron seguridad app,1.87.50,2023-06-18 03:43:18,Negativo
no puedo descargar app llave pidio actualizar no dejaba tampoco desinstale ahora no deja descargarlo sera necesito sacar dinero gracias,1.87.50,2022-05-24 13:49:37,Negativo
no podido ingresar llave desactive ahora no puedo instalarlo alguien puede decir hacer favor,1.87.50,2021-02-07 13:23:58,Negativo
veces bloquea ingresar,1.87.50,2021-03-14 16:37:14,Negativo
ultima actualizacion no puedo usar sale error,1.87.50,2021-03-10 19:13:18,Negativo
problemas llave cambie numero celular ahora no puedo recibir cobros tampoco enviar dinero acerque sucursal bcp pesima atencion no solucionaron,1.87.50,2021-02-27 06:15:31,Negativo
empezo fallar hace semana desinstale volvi instalar sigue presentando problemas,1.87.50,2021-02-01 23:37:54,Negativo
hace dias quiero actualizar app ahora sale error intentando mil manerasahora no puede ni descargar app desapruebo respuesta,1.87.50,2023-05-23 21:42:00,Negativo
dejado funcionar pide actualizar das actualizar no pasa porqueria app soporte huevas,1.87.50,2021-06-24 12:47:57,Negativo
verdadera basura doy clic tarjeta bcp sale app celular alta gama peor visto,1.87.50,2021-05-20 18:39:24,Negativo
pesimo,1.87.50,2021-03-16 14:10:03,Negativo
malisimo dia no actualiza,1.87.50,2021-01-31 22:56:16,Negativo
pesima aplicacion,1.87.61,2021-03-02 02:29:30,Negativo
no descarga actualizacion,1.87.61,2021-02-05 18:14:20,Negativo
volvi inscribirme problemas no podido usarlo mas nunca,1.87.61,2021-02-12 21:57:56,Negativo
no puede actualizar ultima version varias dias asi no puedo mapear,1.87.61,2023-05-21 18:27:07,Negativo
perdonen ustedestanta denuncia miedo roben asi desinstalare,1.87.69,2020-12-18 13:24:02,Negativo
mala,1.87.69,2021-05-27 16:52:49,Negativo
x sale aseso denegado,1.87.69,2021-02-06 13:31:16,Negativo
no puede actualizar mal,1.87.69,2021-07-03 20:14:45,Negativo
tenia llave desinstala casualidad ahora no puedo ingresar x cambie numero celular piden desafilarme no puedo puedo hacer volver tener llave llamado banca no contestan,1.87.69,2021-10-04 00:01:36,Negativo
no puedo descargar llave primero pidio actualizar momento hacerlo nunca cargaba acabo desinstalar ver si volviendo instalar hace mas rapido igual no carga debe problema k varios dias no puedo usar aplicacion,1.87.69,2021-11-02 23:12:55,Negativo
lento saludo,1.87.69,2021-06-24 18:06:38,Negativo
no abre app hace sensacion,1.87.69,2021-12-22 21:58:06,Negativo
llevo mismo desafile tema id intentos ahora no puedo afiliarme nuevo llave mal servicio pesimo ahora despues semanas sigue saliendo supere limites intentos mal opcion,1.87.69,2021-05-21 15:45:45,Negativo
no deja descargar ultima actualizacion,1.87.69,2022-05-24 03:19:13,Negativo
estresante no poder ingresar error intentando mas tarde,1.87.69,2022-10-18 23:34:38,Negativo
problemas verificacion rostro especificamente parte selfi sale no pudo reconocer rostro arregle rapido ahora no puedo cobrar bono llanada,1.87.69,2021-10-12 03:16:35,Negativo
saldo cuenta sale appno deja mapear saldo insuficiente confundido incierto,1.87.69,2020-11-26 13:13:01,Negativo
acaban enviar dinero llave solo llego mensajeno aparece app llave ver tarjeta aun no llegado pasa solucionen app colera,1.87.69,2022-01-07 22:32:11,Negativo
parece extraño gente inconvenientes registro dni siendo complete facilmente no problemas pagos ni recibos,1.87.69,2021-08-31 02:41:06,Negativo
2 semanas problemas app no soluciones actualizo desinstalo sigue saliendo q estan problemas2 semanas,1.87.69,2021-05-08 14:38:09,Negativo
no aplicacion no reconoce momento tomar selfi poder continuar operacion instalacion,1.87.69,2022-01-31 00:29:58,Negativo
no puedo instalarlo,1.87.69,2021-02-19 20:32:15,Negativo
cansado tantos intentos aplicacion desapruebo respuesta,1.87.69,2020-12-27 18:41:43,Negativo
no pasa da falta mudas cosas,1.87.69,2020-11-25 00:03:12,Negativo
no pasando llave bcp dia 12 enero hice mapeo descontaron 150 solespersona tapie no llegaba ni llega llame numero banca movil dijeron cada cosa llamarles dijeron operacion trunca presente queja asi hice ahora esperar plazo 30 dias saber paso dinero no llego destino justo bcp solucion urgente,1.87.77,2021-01-15 00:09:59,Negativo
pesima app actualizo,1.87.77,2021-02-06 03:26:58,Negativo
piden actualizar aplicacion si problema hacerlo ayer tratando no puede reverenda porqueria necesito hacer pagos imposible ire banco cancelare cuenta,1.87.77,2021-10-22 19:18:53,Negativo
pesima,1.87.77,2021-03-01 17:53:13,Negativo
sale mensaje llave no puede ser usado dispositivos privilegios administrador descargue ultima actualizacion antes usaba normal mismo equipo,1.87.77,2022-02-19 06:54:18,Negativo
mala app siempre fallas,1.87.77,2021-03-11 18:00:15,Negativo
no puedo actualizar app desapruebo respuesta,1.87.77,2021-02-07 01:10:22,Negativo
tenia aplicacion celular di actualizar desistale volvi instalar asi dias no carga aplicacion puedo hacer triste esperanzado triste esperanzado,1.87.77,2022-02-25 20:27:49,Negativo
no descarga esti dias intentando descargar,1.87.77,2021-02-07 12:53:31,Negativo
fallando,1.87.77,2021-06-30 13:20:04,Negativo
pesima app ultima actualizacion no puedo ingresar sale error motivos administrado completa basura,1.87.77,2021-02-07 17:15:46,Negativo
hace varios dias no llave dicen actualice pasa,1.87.77,2021-02-07 17:55:28,Negativo
demora instalar,1.87.77,2021-02-06 19:21:22,Negativo
cargado actualizacion varias veces final no abra appno puedo realizar ningun tipo transferenciapesimo servicio actualizacion deberia ser opcional,1.87.77,2021-02-09 00:23:46,Negativo
dijo actualizacion asi desinstale peor aun no descarga aplicacion insatisfecha triste insatisfecho triste insatisfecho triste hago desespera,1.87.77,2021-10-25 13:11:58,Negativo
malisima datos proporcionados datos aplicacion no mismas mujer aparece nombre momento instalar pidio numero di hace años efectivamente llega codigomomento realizar compras pagos aparece nombre llave nombre hombre no ni familiar mio ni conozco tratado comunicarme asesor solo dijeron reclame pagina oficial facebook no respuesta,1.87.77,2020-11-15 01:20:05,Negativo
pesimo ase mes no puedo abrir m aplicacion desinstale volvi instalar enojado frustrado,1.87.77,2022-03-02 12:59:50,Negativo
malisimo desinstale instalarlo nuevo no puedo entrar dice 24 h salen preguntas siquiera dice respondo mal,1.87.77,2020-11-09 22:47:37,Negativo
hace dias no puedo mapear bota mensaje no responde intenta mas tarde alguna solucion,1.87.77,2021-10-29 23:09:27,Negativo
ahora no inconveniente,1.87.77,2021-02-08 18:35:21,Negativo
ahora ni puede entrar aplicacion demora cargar saliendo error,1.87.77,2021-02-06 14:58:33,Negativo
casi no sistema dia,1.87.77,2021-02-08 19:44:47,Negativo
fallando,1.87.77,2021-02-25 02:02:33,Negativo
intento instalar no carga,1.87.77,2020-11-25 14:52:29,Negativo
anterior bien actual no trabaja no ingresa podrian arreglar favor,1.87.77,2021-07-13 14:21:22,Negativo
lento pigmentacion,1.87.77,2021-02-09 19:22:28,Negativo
pide actualizar obligatoriamente opcion hacerlo mas tarde hace perder ventas,1.87.77,2021-02-05 19:43:18,Negativo
queriendo ingresar llave muestra siguiente mensaje ups salio mal espero den solucion llevo intentando dos horas enojado frustrado,1.87.77,2022-05-26 12:50:02,Negativo
volvio lenta pidio actualizar espero tiempo mejore necesito,1.87.77,2021-02-06 02:33:51,Negativo
no puede instalar q pesima actualizacion dando normal,1.87.77,2021-02-17 18:10:58,Negativo
hice recarga llave 10 pm ahora no llega recarga,1.87.77,2022-05-19 15:27:38,Negativo
problemas ingresar aplicacion hace dias sale problemas acceder no permite ingresar contraseña incomodando,1.87.77,2021-03-25 03:09:24,Negativo
no rayos pasa no permite ingresar ultimamente presenta muchas fallas pesar actualice hace ni si quiera deberia merecer 1 estrella malaga app deberian ver mejorarla no empeorarla cada vez mas,1.87.77,2021-03-06 14:37:07,Negativo
no sirvio no agarra tarjeta banco ni siquiera dni tampoco sirvio asi bueno,1.87.77,2020-12-17 00:12:10,Negativo
pesimo,1.87.77,2021-02-12 11:06:03,Negativo
problemas momento recibir apeos desinstalando app volviendo instalarlas ver resulta,1.87.77,2021-11-19 21:36:54,Negativo
vuelto porqueria ultimos dias,1.87.77,2021-02-05 17:37:50,Negativo
arreglen sistema no quiere ingresar app,1.87.77,2021-02-16 17:35:15,Negativo
mala,1.87.77,2021-02-05 16:03:22,Negativo
no puedo ingresar,1.87.77,2021-05-11 17:31:58,Negativo
no pude realizar pago pidio app actualiceno tener resultados desafileno puedo volver afiliarme,1.87.77,2021-08-27 01:55:44,Negativo
no puedo descargarlo,1.87.77,2020-12-08 16:32:10,Negativo
pesima no puedo completar datos,1.87.77,2021-10-11 15:10:20,Negativo
congela no ingresa ultima actualizacion horrible,1.87.77,2021-02-05 15:26:10,Negativo
fallando llave necesito utilizarlo,1.87.77,2022-04-21 16:35:25,Negativo
lenta app cosa no acuerdo aplicacion demas pueden ver datos nombres apellidos completos solo contactos peligroso tiempos estafas deberian anular opcion solo dar opcion posee solo nombre seudonimo no mostrar nombre completo solo confirmar deposito cada derecho privacidad apps bancarias no dan solucionen,1.87.77,2020-11-15 13:10:43,Negativo
falla,1.87.77,2021-06-26 21:27:25,Negativo
deberia poder ingresar numero celular mapear vez tener agregarlo actualizacion agrego fe ature asi godo,1.87.77,2021-11-19 15:27:47,Negativo
buenos dias app buenasemana pasada sale acceso denegado motivos seguridad llave no puede ser utilizado dispositivos obtenido privilegios administrador app no abre no funciona solo s cierra quisiera saber,1.87.77,2021-02-04 15:02:43,Negativo
ayer tapie 10 suelos nunca llego dinero tapie,1.87.77,2021-11-17 22:04:15,Negativo
parece bien ahora no problemas efectivos,1.87.77,2021-02-06 02:05:22,Negativo
no deja registrar automaticamente aplicacion cierra,1.87.77,2022-02-11 21:07:34,Negativo
no puedo actualizar,1.87.77,2021-09-10 22:53:54,Negativo
mal app mes enero problemas mapear,1.87.77,2021-01-19 23:59:34,Negativo
van actualizar no permiten trabajar,1.87.77,2021-02-05 23:04:25,Negativo
pesimo,1.87.77,2021-02-07 00:49:20,Negativo
mas sale ocurrido error poder entrar app,1.87.77,2021-07-29 12:53:23,Negativo
no puedo descargar aplicacion mismo pasa app bcp no puede actualizar,1.87.77,2022-07-12 15:24:41,Negativo
no puedo instalar,1.87.77,2021-09-13 15:29:15,Negativo
basura aplicacion,1.87.77,2022-02-23 09:52:11,Negativo
pesima aplicacion cambien tipi reconfiguracion malogra cada transferencia enojado atencion recibida enojada atencion recibida frustrada situacion frustrada situacion,1.87.77,2020-11-09 14:59:36,Negativo
hace semanas ando tratando actualizar app no abre dice mantenimiento triste esperanzado triste esperanzado triste esperanzado triste esperanzado triste esperanzado,1.87.77,2021-11-09 23:13:31,Negativo
buenos dias varios dias tratando actualizar llave ahora no puedo sale gira gira no actualiza instala app llave espero solucionen errores,1.87.77,2022-05-30 17:11:28,Negativo
lento actualizar esperemos no dañar cosas,1.87.79,2021-02-05 22:27:48,Negativo
servicio buenisimofastidia ver aleatoriamente interrumpa pidiendo actualizar lento quita tiempo hoy 3 octubre necesito saber cuanto pide actualizar luego instalar parece tonto si instalado ademas delincuente cibernetico expone roben datos dinero jose si pagina real fraude,1.87.79,2021-11-03 15:42:38,Negativo
asco aplicacion ,1.87.79,2020-12-24 19:13:46,Negativo
no puedo ingresar llave plata pasando actualiza ahora no ingreso dicen parte servidor pasa solucionen,1.87.79,2021-02-05 14:42:55,Negativo
fallando,1.87.79,2022-10-10 19:12:50,Negativo
no puede actualizar ni descargar,1.87.79,2021-06-27 07:04:03,Negativo
instalado reiniciado telefono motivado creacion nueva cuenta seleccionar tipo documento carnet extranjeria saca no dado solucion tampoco medio numero soporte llave,1.87.79,2023-08-29 18:08:51,Negativo
no sirve app jamas pude usar,1.87.79,2021-03-09 18:51:29,Negativo
no quiere entrar cuenta pese ser detallista datos,1.87.79,2020-11-27 20:26:24,Negativo
no puedo entrar llave antes mando actualice ahora no puedo,1.87.79,2021-06-25 17:43:56,Negativo
asco no habre bcp ratas,1.87.79,2021-03-14 15:58:40,Negativo
registra llave dni salio mal nombre llame central pedir modifique datos si algun momento quiero hacer retiros no dado solucion ahora sigo error datos,1.87.79,2020-12-01 18:10:05,Negativo
no puedo instalar llave puedo hacer,1.87.79,2021-11-01 12:54:57,Negativo
varias denuncias robos sin culpa aparente usuario no segura,1.87.79,2020-12-16 00:52:32,Negativo
malo cebada llave,1.87.79,2022-02-19 18:13:30,Negativo
verdad buena app muchas veces cada vez quiero pagar sale error desinstalar instalar nuevo par funcione correctamente necesito solucion molesto,1.87.79,2020-12-19 00:53:21,Negativo
mala no puede descargar aplicacion,1.87.79,2021-02-05 13:31:45,Negativo
mala aplicacion,1.87.79,2021-05-22 12:50:22,Negativo
completo fracaso realizar mapeo sale no puedorevisar cuenta si descontaron no figura aplicacion verdad ultima actualizacion fracaso pasando,1.87.79,2022-07-12 00:52:16,Negativo
hace semanas no puedo entrar aplicativo solo mencionan q estan trabajando ello momento desinstale volvi instalar ahora sigo mismo problema enojado frustrado enojado frustrado enojado frustrado,1.87.79,2021-04-30 23:50:21,Negativo
primero funcionaba mas normalllevo dias intentando entrar app sale mensaje estan error intente minutos,1.87.79,2021-05-01 18:20:16,Negativo
mas necesitas sale actualizacion despues no pueda instalar,1.87.79,2021-02-05 22:15:51,Negativo
cambien numero telde llave puesto no abre solo da gana pesimo,1.87.79,2022-11-28 19:20:07,Negativo
basura ni entra llega mensaje ocurrio error vuelve intentar minutos asi ni entra dias,1.87.79,2021-05-26 12:14:44,Negativo
decepcion total despues actualiza sin usar aporque no llega codigo validacion sms,1.87.79,2021-10-02 20:53:58,Negativo
no puedo actualizar aplicacion no puedo usar,1.87.79,2021-02-09 01:10:59,Negativo
pesimo no reconoce verificacion,1.87.79,2021-08-30 13:22:20,Negativo
dos meses sin poder utilizar llave aplicacion demasiados problemas,1.87.79,2021-02-12 18:04:59,Negativo
cebada siempre cuelga no sirve,1.87.79,2021-07-22 18:54:16,Negativo
acceso no pasa,1.87.79,2021-03-22 15:37:54,Negativo
